District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
Alabama 1,Jerry Carl,Republican,Mobile County Commission,Florida Gateway College,2021,Mobile,(age 65)
Alabama 2,Barry Moore,Republican,Alabama House of Representatives,Enterprise State Community College (AS) Auburn University (BS),2021,Enterprise,(age 57)
Alabama 3,Mike Rogers,Republican,Calhoun County Commissioner Alabama House of Representatives,"Jacksonville State University (BA, MPA) Birmingham School of Law (JD)",2003,Weaver,(age 65)
Alabama 4,Robert Aderholt,Republican,Haleyville Municipal Judge,University of North Alabama Birmingham–Southern College (BA) Samford University (JD),1997,Haleyville,(age 58)
Alabama 5,Dale Strong,Republican,Madison County Commission Chairman,Athens State University (BA),2023,Huntsville,(age 53)
Alabama 6,Gary Palmer,Republican,Policy analyst,University of Alabama (BS),2015,Hoover,(age 69)
Alabama 7,Terri Sewell,Democratic,Attorney,"Princeton University (BA) St Hilda's College, Oxford (MA) Harvard University (JD)",2011,Birmingham,(age 58)
Alaska at-large,Mary Peltola,Democratic,Alaska House of Representatives,University of Northern Colorado University of Alaska Anchorage University of Alaska Southeast University of Alaska Fairbanks,2022 (special),Bethel,(age 50)
Arizona 1,David Schweikert,Republican,Arizona House of Representatives Arizona Board of Education Arizona Board of Equalization Maricopa County Treasurer,"Arizona State University, Tempe (BS, MBA)",2011,Fountain Hills[5],(age 61)
Arizona 2,Eli Crane,Republican,U.S. Navy Businessman,Arizona Western College University of Arizona,2023,Oro Valley,(age 43)
Arizona 3,Ruben Gallego,Democratic,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,(age 43)
Arizona 4,Greg Stanton,Democratic,Mayor of Phoenix,Marquette University (BA) University of Michigan (JD),2019,Phoenix,(age 53)
Arizona 5,Andy Biggs,Republican,Arizona Senate,"Brigham Young University (BA) University of Arizona (JD) Arizona State University, Phoenix (MA)",2017,Gilbert,(age 64)
Arizona 6,Juan Ciscomani,Republican,University of Arizona senior program development specialist Tucson Hispanic Chamber of Commerce Vice President of Outreach Senior Advisor for Regional and International Affairs to Arizona Governor Doug Ducey,Pima Community College University of Arizona,2023,Tucson,(age 41)
Arizona 7,Raúl Grijalva,Democratic,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,(age 75)
Arizona 8,Debbie Lesko,Republican,Arizona House of Representatives Arizona Senate President Pro Tempore of Arizona Senate,University of Wisconsin–Madison (BA),2018 (special),Peoria,(age 64)
Arizona 9,Paul Gosar,Republican,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",2011,Bullhead City,(age 64)
Arkansas 1,Rick Crawford,Republican,Broadcaster Businessman,Arkansas State University (BS),2011,Jonesboro,(age 57)
Arkansas 2,French Hill,Republican,Businessman,Vanderbilt University (BS),2015,Little Rock,(age 66)
Arkansas 3,Steve Womack,Republican,Mayor of Rogers,Arkansas Tech University (BA),2011,Rogers,(age 66)
Arkansas 4,Bruce Westerman,Republican,Arkansas House of Representatives,University of Arkansas (BS) Yale University (MS),2015,Hot Springs,(age 55)
California 1,Doug LaMalfa,Republican,California State Senate California State Assembly,Butte College California Polytechnic State University (BS),2013,Oroville[6],(age 63)
California 2,Jared Huffman,Democratic,California State Assembly,"University of California, Santa Barbara (BA) Boston College (JD)",2013,San Rafael,(age 59)
California 3,Kevin Kiley,Republican,California State Assembly,Harvard University (BA) Yale University (JD) Loyola Marymount University (MA),2023,Rocklin,(age 38)
California 4,Mike Thompson,Democratic,California State Senate,"Napa Valley College California State University, Chico (BA, MPA)",1999,St. Helena,(age 72)
California 5,Tom McClintock,Republican,California Senate California State Assembly,"University of California, Los Angeles (BA)",2009,Elk Grove,(age 67)
California 6,Ami Bera,Democratic,Chief Medical Officer of Sacramento County,"University of California, Irvine (BS, MD)",2013,Elk Grove,(age 58)
California 7,Doris Matsui,Democratic,Sacramento City Council,"University of California, Berkeley (BA)",2005 (special),Sacramento,(age 79)
California 8,John Garamendi,Democratic,United States Deputy Secretary of the Interior Lieutenant Governor of California California Insurance Commissioner California State Senate California State Assembly,"University of California, Berkeley (BA) Harvard University (MBA)",2009 (special),Walnut Grove,(age 78)
California 9,Josh Harder,Democratic,Venture capitalist Professor,"Stanford University (BA) Harvard University (MBA, MPP)",2019,Tracy,(age 37)
California 10,Mark DeSaulnier,Democratic,California State Senate California State Assembly Contra Costa County Board of Supervisors,College of the Holy Cross (BA),2015,Concord,(age 71)
California 11,Nancy Pelosi,Democratic,California Democratic Party Chair,Trinity Washington University (BA),1987 (special),San Francisco,(age 83)
California 12,Barbara Lee,Democratic,California State Assembly,"Mills College (BA) University of California, Berkeley (MSW)",1998 (special),Oakland,(age 77)
California 13,John Duarte,Republican,Businessman Farmer,San Diego State University (BBA) University of the Pacific (MBA),2023,Modesto,(age 57)
California 14,Eric Swalwell,Democratic,Dublin City Council,"Campbell University University of Maryland, College Park (BA) University of Maryland, Baltimore (JD)",2013,Livermore,(age 42)
California 15,Kevin Mullin,Democratic,Speaker pro tempore of the California State Assembly South San Francisco City Council,University of San Francisco (BA) San Francisco State University (MPA),2023,South San Francisco,(age 53)
California 16,Anna Eshoo,Democratic,San Mateo County Board of Supervisors,Cañada College,1993,Atherton,(age 80)
California 17,Ro Khanna,Democratic,Attorney Author Educator,University of Chicago (BA) Yale University (JD),2017,Fremont,(age 47)
California 18,Zoe Lofgren,Democratic,Santa Clara County Board of Supervisors,Stanford University (BA) Santa Clara University(JD),1995,San Jose,(age 75)
California 19,Jimmy Panetta,Democratic,Deputy district attorney of Monterey County,"Monterey Peninsula College University of California, Davis (BA) Santa Clara University(JD)",2017,Carmel Valley,(age 54)
California 20,Kevin McCarthy,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,(age 58)
California 21,Jim Costa,Democratic,California State Senate California State Assembly,"California State University, Fresno (BA)",2005,Fresno,(age 71)
California 22,David Valadao,Republican,U.S. House California State Assembly,College of the Sequoias,2021,Hanford,(age 46)
California 23,Jay Obernolte,Republican,California State Assembly,"California Institute of Technology (BS) University of California, Los Angeles (MS)",2021,Big Bear Lake,(age 53)
California 24,Salud Carbajal,Democratic,Santa Barbara County Board of Supervisors,"University of California, Santa Barbara (BA) Fielding Graduate University (MA)",2017,Santa Barbara,(age 58)
California 25,Raul Ruiz,Democratic,Emergency physician,"University of California, Los Angeles (BS) Harvard University (MD, MPP, MPH)",2013,Indio,(age 51)
California 26,Julia Brownley,Democratic,California State Assembly,George Washington University (BA) American University (MBA),2013,Westlake Village[7],(age 71)
California 27,Mike Garcia,Republican,Businessman United States Navy,United States Naval Academy (BS) Georgetown University (MA),2020 (special),Santa Clarita,(age 47)
California 28,Judy Chu,Democratic,Mayor of Monterey Park Monterey Park City Council California State Assembly California State Board of Equalization,"University of California, Los Angeles (BA) Alliant International University (MA, PhD)",2009 (special),Monterey Park,(age 70)
California 29,Tony Cárdenas,Democratic,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,Los Angeles,(age 60)
California 30,Adam Schiff,Democratic,California State Senate Assistant Prosecutor for the United States Attorney for the Southern District of California,Stanford University (BA) Harvard University (JD),2001,Burbank,(age 63)
California 31,Grace Napolitano,Democratic,California State Assembly,Cerritos College Texas Southmost College,1999,Norwalk,(age 86)
California 32,Brad Sherman,Democratic,California Board of Equalization,"University of California, Los Angeles (BA) Harvard University (JD)",1997,Los Angeles,(age 69)
California 33,Pete Aguilar,Democratic,Mayor of Redlands,University of Redlands (BS),2015,Redlands,(age 44)
California 34,Jimmy Gomez,Democratic,California State Assembly,"University of California, Los Angeles (BA) Harvard University (MPP)",2017 (special),Los Angeles,(age 48)
California 35,Norma Torres,Democratic,California State Senate California State Assembly Mayor of Pomona,National Labor College (BA),2015,Pomona,(age 58)
California 36,Ted Lieu,Democratic,California State Senate California State Assembly,"Stanford University (BA, BS) Georgetown University (JD)",2015,Torrance,(age 54)
California 37,Sydney Kamlager-Dove,Democratic,California State Senate California State Assembly Los Angeles Community College District Board of Trustees,Compton College University of Southern California (BA) Carnegie Mellon University (MA),2023,Los Angeles[8],(age 51)
California 38,Linda Sánchez,Democratic,Attorney,"University of California, Berkeley (BA) University of California, Los Angeles (JD)",2003,Whittier[9],(age 54)
California 39,Mark Takano,Democratic,Teacher,"Harvard University (BA) University of California, Riverside (MFA)",2013,Riverside,(age 62)
California 40,Young Kim,Republican,California State Assembly,University of Southern California (BBA),2021,Anaheim Hills,(age 61)
California 41,Ken Calvert,Republican,Real estate executive,Chaffey College San Diego State University (BA),1993,Corona,(age 70)
California 42,Robert Garcia,Democratic,Mayor of Long Beach Long Beach City Council,"California State University, Long Beach (BA, EdD) University of Southern California (MA)",2023,Long Beach,(age 45)
California 43,Maxine Waters,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1991,Los Angeles[10],(age 85)
California 44,Nanette Barragán,Democratic,Hermosa Beach City Council,"University of California, Los Angeles (BA) University of Southern California (JD)",2017,Los Angeles,(age 47)
California 45,Michelle Steel,Republican,Orange County Board of Supervisors California State Board of Equalization,Pepperdine University (BA) University of Southern California (MBA),2021,Fountain Valley,(age 68)
California 46,Lou Correa,Democratic,California State Senate Orange County Board of Supervisors California State Assembly,"California State University, Fullerton (BA) University of California, Los Angeles (JD, MBA)",2017,Santa Ana,(age 65)
California 47,Katie Porter,Democratic,Attorney Professor,Yale University (BA) Harvard University (JD),2019,Irvine,(age 49)
California 48,Darrell Issa,Republican,U.S. House,Siena Heights University (BA),2021,San Diego[11],(age 69)
California 49,Mike Levin,Democratic,Environmental activist,Stanford University (BA) Duke University (JD),2019,San Juan Capistrano,(age 45)
California 50,Scott Peters,Democratic,San Diego City Council San Diego Port Commission,Duke University (BA) New York University (JD),2013,San Diego[12],(age 65)
California 51,Sara Jacobs,Democratic,Nonprofit founder Policy advisor,"Columbia University (BA, MIA)",2021,San Diego,(age 34)
California 52,Juan Vargas,Democratic,California State Senate California State Assembly San Diego City Council,University of San Diego (BA) Fordham University (MA) Harvard University (JD),2013,San Diego[13],(age 62)
Colorado 1,Diana DeGette,Democratic,Colorado House of Representatives,Colorado College (BA) New York University (JD),1997,Denver,(age 66)
Colorado 2,Joe Neguse,Democratic,Executive Director of the Colorado Department of Regulatory Agencies Regents of the University of Colorado,"University of Colorado, Boulder (BA, JD)",2019,Lafayette[14],(age 39)
Colorado 3,Lauren Boebert,Republican,Businesswoman Restaurateur,–,2021,Silt,(age 36)
Colorado 4,Ken Buck,Republican,Weld County District Attorney,Princeton University (BA) University of Wyoming (JD),2015,Windsor[15],(age 64)
Colorado 5,Doug Lamborn,Republican,President Pro Tempore of the Colorado Senate Colorado House of Representatives,"University of Kansas (BS, JD)",2007,Colorado Springs,(age 69)
Colorado 6,Jason Crow,Democratic,Attorney U.S. Army,"University of Wisconsin, Madison (BA) University of Denver (JD)",2019,Aurora,(age 44)
Colorado 7,Brittany Pettersen,Democratic,Colorado Senate Colorado House of Representatives,Metropolitan State University of Denver (BA),2023,Lakewood,(age 41)
Colorado 8,Yadira Caraveo,Democratic,Colorado Senate,"University of Colorado Boulder (BA, JD)",2023,Thornton[16],(age 42)
Connecticut 1,John B. Larson,Democratic,Connecticut Senate East Hartford City Council East Hartford Board of Education,Central Connecticut State University (BA),1999,East Hartford,(age 75)
Connecticut 2,Joe Courtney,Democratic,Connecticut House of Representatives,Tufts University (BA) University of Connecticut (JD),2007,Vernon,(age 70)
Connecticut 3,Rosa DeLauro,Democratic,Executive Director of EMILY's List Political aide,"Marymount College, Tarrytown (BA) London School of Economics (MA) Columbia University (MA)",1991,New Haven,(age 80)
Connecticut 4,Jim Himes,Democratic,Financial executive Greenwich Housing Authority Board,"Harvard University (BA) St Edmund Hall, Oxford (MPhil)",2009,Cos Cob,(age 57)
Connecticut 5,Jahana Hayes,Democratic,Teacher,Naugatuck Valley Community College Southern Connecticut State University (BA) University of Saint Joseph (MA) University of Bridgeport (SYC),2019,Wolcott,(age 50)
Delaware at-large,Lisa Blunt Rochester,Democratic,Delaware Health and Social Services Secretary Delaware Labor Secretary Delaware Personnel Director,Fairleigh Dickinson University (BA) University of Delaware (MA),2017,Wilmington,(age 61)
Florida 1,Matt Gaetz,Republican,Florida House of Representatives,Florida State University (BS) College of William & Mary (JD),2017,Niceville,(age 41)
Florida 2,Neal Dunn,Republican,Surgeon,Washington and Lee University (BS) George Washington University (MD),2017,Panama City,(age 70)
Florida 3,Kat Cammack,Republican,Political advisor,Metropolitan State University of Denver (BA) Naval War College (MS),2021,Gainesville,(age 35)
Florida 4,Aaron Bean,Republican,Florida Senate Florida House of Representatives,Jacksonville University (BS),2023,Fernandina Beach,(age 56)
