District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
Alabama 1,Jerry Carl,Republican,Mobile County Commission,Florida Gateway College,2021,Mobile,65.0
Alabama 2,Barry Moore,Republican,Alabama House of Representatives,Enterprise State Community College (AS) Auburn University (BS),2021,Enterprise,57.0
Alabama 3,Mike Rogers,Republican,Calhoun County Commissioner Alabama House of Representatives,"Jacksonville State University (BA, MPA) Birmingham School of Law (JD)",2003,Weaver,65.0
Alabama 4,Robert Aderholt,Republican,Haleyville Municipal Judge,University of North Alabama Birmingham–Southern College (BA) Samford University (JD),1997,Haleyville,58.0
Alabama 5,Dale Strong,Republican,Madison County Commission Chairman,Athens State University (BA),2023,Huntsville,53.0
Alabama 6,Gary Palmer,Republican,Policy analyst,University of Alabama (BS),2015,Hoover,69.0
Alabama 7,Terri Sewell,Democratic,Attorney,"Princeton University (BA) St Hilda's College, Oxford (MA) Harvard University (JD)",2011,Birmingham,58.0
Alaska at-large,Mary Peltola,Democratic,Alaska House of Representatives,University of Northern Colorado University of Alaska Anchorage University of Alaska Southeast University of Alaska Fairbanks,2022 (special),Bethel,50.0
Arizona 1,David Schweikert,Republican,Arizona House of Representatives Arizona Board of Education Arizona Board of Equalization Maricopa County Treasurer,"Arizona State University, Tempe (BS, MBA)",2011,Fountain Hills[5],61.0
Arizona 2,Eli Crane,Republican,U.S. Navy Businessman,Arizona Western College University of Arizona,2023,Oro Valley,43.0
Arizona 3,Ruben Gallego,Democratic,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,43.0
Arizona 4,Greg Stanton,Democratic,Mayor of Phoenix,Marquette University (BA) University of Michigan (JD),2019,Phoenix,53.0
Arizona 5,Andy Biggs,Republican,Arizona Senate,"Brigham Young University (BA) University of Arizona (JD) Arizona State University, Phoenix (MA)",2017,Gilbert,64.0
Arizona 6,Juan Ciscomani,Republican,University of Arizona senior program development specialist Tucson Hispanic Chamber of Commerce Vice President of Outreach Senior Advisor for Regional and International Affairs to Arizona Governor Doug Ducey,Pima Community College University of Arizona,2023,Tucson,41.0
Arizona 7,Raúl Grijalva,Democratic,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,75.0
Arizona 8,Debbie Lesko,Republican,Arizona House of Representatives Arizona Senate President Pro Tempore of Arizona Senate,University of Wisconsin–Madison (BA),2018 (special),Peoria,64.0
Arizona 9,Paul Gosar,Republican,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",2011,Bullhead City,64.0
Arkansas 1,Rick Crawford,Republican,Broadcaster Businessman,Arkansas State University (BS),2011,Jonesboro,57.0
Arkansas 2,French Hill,Republican,Businessman,Vanderbilt University (BS),2015,Little Rock,66.0
Arkansas 3,Steve Womack,Republican,Mayor of Rogers,Arkansas Tech University (BA),2011,Rogers,66.0
Arkansas 4,Bruce Westerman,Republican,Arkansas House of Representatives,University of Arkansas (BS) Yale University (MS),2015,Hot Springs,55.0
California 1,Doug LaMalfa,Republican,California State Senate California State Assembly,Butte College California Polytechnic State University (BS),2013,Oroville[6],63.0
California 2,Jared Huffman,Democratic,California State Assembly,"University of California, Santa Barbara (BA) Boston College (JD)",2013,San Rafael,59.0
California 3,Kevin Kiley,Republican,California State Assembly,Harvard University (BA) Yale University (JD) Loyola Marymount University (MA),2023,Rocklin,38.0
California 4,Mike Thompson,Democratic,California State Senate,"Napa Valley College California State University, Chico (BA, MPA)",1999,St. Helena,72.0
California 5,Tom McClintock,Republican,California Senate California State Assembly,"University of California, Los Angeles (BA)",2009,Elk Grove,67.0
California 6,Ami Bera,Democratic,Chief Medical Officer of Sacramento County,"University of California, Irvine (BS, MD)",2013,Elk Grove,58.0
California 7,Doris Matsui,Democratic,Sacramento City Council,"University of California, Berkeley (BA)",2005 (special),Sacramento,79.0
California 8,John Garamendi,Democratic,United States Deputy Secretary of the Interior Lieutenant Governor of California California Insurance Commissioner California State Senate California State Assembly,"University of California, Berkeley (BA) Harvard University (MBA)",2009 (special),Walnut Grove,78.0
California 9,Josh Harder,Democratic,Venture capitalist Professor,"Stanford University (BA) Harvard University (MBA, MPP)",2019,Tracy,37.0
California 10,Mark DeSaulnier,Democratic,California State Senate California State Assembly Contra Costa County Board of Supervisors,College of the Holy Cross (BA),2015,Concord,71.0
California 11,Nancy Pelosi,Democratic,California Democratic Party Chair,Trinity Washington University (BA),1987 (special),San Francisco,83.0
California 12,Barbara Lee,Democratic,California State Assembly,"Mills College (BA) University of California, Berkeley (MSW)",1998 (special),Oakland,77.0
California 13,John Duarte,Republican,Businessman Farmer,San Diego State University (BBA) University of the Pacific (MBA),2023,Modesto,57.0
California 14,Eric Swalwell,Democratic,Dublin City Council,"Campbell University University of Maryland, College Park (BA) University of Maryland, Baltimore (JD)",2013,Livermore,42.0
California 15,Kevin Mullin,Democratic,Speaker pro tempore of the California State Assembly South San Francisco City Council,University of San Francisco (BA) San Francisco State University (MPA),2023,South San Francisco,53.0
California 16,Anna Eshoo,Democratic,San Mateo County Board of Supervisors,Cañada College,1993,Atherton,80.0
California 17,Ro Khanna,Democratic,Attorney Author Educator,University of Chicago (BA) Yale University (JD),2017,Fremont,47.0
California 18,Zoe Lofgren,Democratic,Santa Clara County Board of Supervisors,Stanford University (BA) Santa Clara University(JD),1995,San Jose,75.0
California 19,Jimmy Panetta,Democratic,Deputy district attorney of Monterey County,"Monterey Peninsula College University of California, Davis (BA) Santa Clara University(JD)",2017,Carmel Valley,54.0
California 20,Kevin McCarthy,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,58.0
California 21,Jim Costa,Democratic,California State Senate California State Assembly,"California State University, Fresno (BA)",2005,Fresno,71.0
California 22,David Valadao,Republican,U.S. House California State Assembly,College of the Sequoias,2021,Hanford,46.0
California 23,Jay Obernolte,Republican,California State Assembly,"California Institute of Technology (BS) University of California, Los Angeles (MS)",2021,Big Bear Lake,53.0
California 24,Salud Carbajal,Democratic,Santa Barbara County Board of Supervisors,"University of California, Santa Barbara (BA) Fielding Graduate University (MA)",2017,Santa Barbara,58.0
California 25,Raul Ruiz,Democratic,Emergency physician,"University of California, Los Angeles (BS) Harvard University (MD, MPP, MPH)",2013,Indio,51.0
California 26,Julia Brownley,Democratic,California State Assembly,George Washington University (BA) American University (MBA),2013,Westlake Village[7],71.0
California 27,Mike Garcia,Republican,Businessman United States Navy,United States Naval Academy (BS) Georgetown University (MA),2020 (special),Santa Clarita,47.0
California 28,Judy Chu,Democratic,Mayor of Monterey Park Monterey Park City Council California State Assembly California State Board of Equalization,"University of California, Los Angeles (BA) Alliant International University (MA, PhD)",2009 (special),Monterey Park,70.0
California 29,Tony Cárdenas,Democratic,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,Los Angeles,60.0
